"Category","Phrase","Meaning"
"Білім жайлы","Оқу - білім азығы, Білім - ырыс қазығы",""
"Білім жайлы","Білімдіге дүние жарық. Білімсіздің күні кәріп.",""
"Білім жайлы","Білімді бесіктен тесікке дейін ізден.",""
"Білім жайлы","Өнер - ағып жатқан бұлақ, Ілім - жанып тұрған шырақ.",""
"Білім жайлы","Кітап - алтын қазына.",""
"Білім жайлы","Тіліңмен жүгірме, біліммен жүгір.",""
"Білім жайлы","Ғылым - теңіз, білім - қайық.",""
"Білім жайлы","Жеті жұрттың тілін біл, Жеті түрлі білім біл.",""
"Білім жайлы","Ғылыммен жақын болсаң, қолың жетер, Залыммен жақын болсаң, басың кетер.",""
"Білім жайлы","Наданмен дос болғанша, Кітаппен дос бол.",""
"Дос туралы","Дос — ажарың, жолдас — базарың.",""
"Дос туралы","Дос басқа қарайды, дұшпан аяққа қарайды.",""
"Дос туралы","Дос болмас сыртта жүріп мақтамаса, бірін-бірі жамандықтан сақтамаса.",""
"Дос туралы","Дос жылатып айтады, Дұшпан күлдіріп айтады.",""
"Дос туралы","Күлме досыңа, келер басыңа.",""
"Дос туралы","Дос сыртыңнан мақтар, Дұшпан көзіңе мақтар.",""
"Дос туралы","Досы көпті жау алмайды, Ақылы көпті дау алмайды.",""
"Дос туралы","Айырылмас досыңа қайырылмас сөз айтпа.",""
"Дос туралы","Өз басыңды дауға берсең де, Жолдасыңды жауға берме.",""
"Тіл туралы","Тіл мәртебесі - ел мәртебесі.",""
"Тіл туралы","Тіл - ұлттың сүйенетін тамыры, сыйынатын тәңірі.",""
"Тіл туралы","Халық үшін өзге тілде сөйлеу қауіпті емес, өзге тілде ойлау қауіпті.",""
"Тіл туралы","Тілі өлген ел - тірі өлген ел.",""
"Тіл туралы","Тіл сүйексіз болса да, сүйектен өтеді.",""
"Тіл туралы","Тіл тас жарады, Тас жармаса, бас жарады.",""
"Тіл туралы","Тіл – қылыштан да өткір.",""
"Тіл туралы","Аяғы жаман төрді былғар, Аузы жаман елді былғар.",""
"Тіл туралы","Шешеннің тілі – шебердің бізі.",""
"Тіл туралы","Ашуың келсе — қолың тарт, Айтпас жерде — тілің тарт.",""
"Адами құндылықтар","Кісіні кейде таршылық сынайды, Кейде баршылық сынайды.",""
"Адами құндылықтар","Жаман адам кетсе, Дүние кеңіп қалғандай.",""
"Адами құндылықтар","Жақсы адам кетсе, Дүние кеміп қалғандай.",""
"Адами құндылықтар","Өзін ғана ойлаған, Жамандықтың белгісі.",""
"Адами құндылықтар","Өзгені де ойлаған, Адамдықтың белгісі.",""
"Адами құндылықтар","Біреуге ор қазба, өзің түсесің.",""
"Адами құндылықтар","Асылдың бірі — адалдық.",""
"Адами құндылықтар","Ақкөңілден арамдық шықпас, Арамдық шықса да жамандық шықпас.",""
"Адами құндылықтар","Адалдық жүрген жерде, адамдық жүреді.",""
"Адами құндылықтар","Жақсыға қылған жақсылық, Өміріңде тозбайды.",""
"Адами құндылықтар","Жаманға қылған жақсылық, Бір күнгідей болмайды.",""
"Адами құндылықтар","Адалдық ақыры бір көрінеді.",""
"Адами құндылықтар","Жақсылыққа жақсылық, Әр кісінің ісі.",""
"Адами құндылықтар","Жамандыққа жақсылық, Ер кісінің ісі.",""
"Денсаулық","Денсаулық — зор байлық.",""
"Денсаулық","Бас аманда мал тәтті, Бас ауырса, жан тәтті.",""
"Денсаулық","Біреуге өлім тілегенше Өзіңе жүрім тіле.",""
"Денсаулық","Сырқат тән жарасы, Қайғы жан жарасы.",""
"Денсаулық","Аурудың жақсысы жоқ, Дәрінің тәттісі жоқ.",""
"Денсаулық","Ауру жайын баққан біледі, Аңның жайын атқан біледі.",""
"Денсаулық","Жасырғанның жарасы асқынады.",""
"Денсаулық","Жеңіл барып, ауыр қайт, Аман барып, сау қайт.",""
"Денсаулық","Жарлының байлығы — Денінің саулығы.",""
"Денсаулық","Әуелгі байлық — ден саулық, Екінші байлық — он саулық, Үшінші байлық — ақ жаулық.",""
